Max Grade,Average Grade,Average Cadence,Distance (mi),Max Speed (mph),Average Speed (mph),Elevation Gain (ft),Elevation Loss (ft),Elevation Low (ft),Elevation High (ft),Hour of Day,Rest Hours
7.370568752288818,-0.3069626986980438,85.6416015625,4.996892479801118,11.667214029312134,8.079084491491319,204.8000139923096,702.134,264.1205,394.3761899871826,20,44.85111111111111
18.24141311645508,-0.1151131242513656,83.78279113769531,8.098197638284649,17.09033089542389,7.100995401620866,745.6611690216065,1125.383,291.3528100128174,951.1618799743652,11,38.64333333333333
7.689279079437256,-0.2767658233642578,88.92797088623047,3.9962709757613424,10.451712920665742,7.975116331577301,182.8829455070496,593.861,285.7750949935913,394.3761899871826,20,81.80333333333333
6.325907707214356,-0.6814979314804077,87.57380676269531,3.1013051584835303,10.741349823474884,8.461270160913468,62.667101251602176,488.869,263.7924050064087,385.5175,20,23.407222222222224
4.724409580230713,-0.0622168853878974,83.93576049804688,3.095090118085768,10.255404531002045,8.626942298650741,87.79956075096132,229.67,285.447,384.8613100128173,19,142.90472222222223
5.850584506988525,-0.0421467535197734,84.26441192626953,3.095090118085768,10.820683433055878,8.567297555685045,191.9385,738.225,253.2931899871826,394.3761899871826,20,49.24722222222222
6.704595565795898,-0.4241268634796142,81.63106536865234,4.4934742075823495,14.45420947265625,7.848909928560257,180.9143379974365,656.2,279.54118998718263,394.70431001281736,20,44.85111111111111
15.808147430419922,-0.2683619558811188,82.3966064453125,8.495960223741454,11.36777589392662,7.671070118188858,696.765678024292,1542.0700000000002,268.3858100128174,951.49,17,21.04722222222222
7.343587875366211,-0.3278349339962005,82.338134765625,13.095090118085768,13.57856051683426,7.879473645925522,253.42443299102783,1768.459,16.405,265.4329050064087,11,66.55416666666667
4.65251350402832,0.2759767174720764,86.67784118652344,1.864512119328776,13.709088593006134,9.624860524177551,171.06039899444582,91.868,285.1189050064087,315.6321899871827,8,92.89083333333332
32.18595886230469,-0.5470064282417297,82.43950653076172,7.998756991920447,11.820272620201113,7.683560462951659,571.973481842041,1161.4740000000002,285.7750949935913,943.6156200256348,18,44.85111111111111
5.5376296043396,-0.4523972570896148,83.05229949951172,3.9962709757613424,11.41765673828125,8.26495057106018,30.283628498077395,272.32300000000004,277.9006899871826,396.6729050064087,16,21.42083333333333
7.760669708251953,-0.043139100074768,81.83548736572266,4.176507147296458,15.800723999023438,6.66877955198288,156.17794800567628,479.026,267.4015,396.6729050064087,17,49.039722222222224
11.028997421264648,-0.08058562874794,84.17327880859375,6.246115599751399,14.062352172851565,8.64808772325516,391.1389459991455,931.804,291.3528100128174,621.7495,18,25.365277777777777
18.67147254943848,-0.0015071907546371,82.76129913330078,8.24735860783095,11.31017545223236,7.19970000576973,803.5989350128174,1341.929,276.9164050064087,951.49,18,24.021944444444443
5.412373065948486,0.1847638338804245,83.67906188964844,1.1746426351771286,12.633438385009766,8.292703574180603,41.66869937419892,65.62,354.0199050064087,396.6729050064087,15,44.84638888888889
5.524852275848389,0.3695779144763946,93.10993957519533,1.5972653822249845,16.986285400867462,11.663708903312685,267.84952351379394,26.248,365.5034050064087,396.6729050064087,15,0.1922222222222222
8.847270011901855,-0.0309939607977867,83.50129699707031,4.008701056556868,11.36777589392662,7.444595351219178,173.5758314933777,262.48,284.7908100128174,396.6729050064087,22,54.520833333333336
23.58577537536621,-0.0629478693008422,84.15709686279297,7.992541951522685,12.102246459960938,8.16139681816101,775.917450012207,1345.21,287.7436899871826,951.1618799743652,13,15.778611111111111
8.170665740966797,0.0870672464370727,83.76797485351562,3.9962709757613424,12.935455230712892,9.342831216812137,203.86988583755493,387.158,277.2445,396.6729050064087,14,48.49638888888889
9.891194343566896,-0.0546775944530963,82.44989776611328,4.201367308887508,10.96629976463318,7.847405369758606,191.80088634109495,830.0930000000001,264.1205,356.3165949935913,17,26.80527777777778
9.463722229003906,-0.2779973745346069,85.36722564697266,3.9962709757613424,12.992513263225556,8.568614911317825,133.09922999572754,334.66200000000003,255.5899050064087,356.3165949935913,18,25.259444444444444
1.352722406387329,0.0093151498585939,84.27123260498047,2.0012430080795527,12.319474670410155,9.86903105735779,0.0,259.199,257.55850000000004,259.85518998718265,16,166.2761111111111
16.049816131591797,-0.5472806096076965,81.34781646728516,8.29707893101305,11.651951904296876,7.982767127752305,550.2474203643799,1302.557,276.9164050064087,951.8181200256348,16,120.24055555555556
7.597363948822021,0.0525805950164794,81.71211242675781,6.146674953387198,11.493707092285156,8.193700298309327,276.8414090042114,616.828,284.7908100128174,385.5175,19,26.30611111111111
49.01129150390625,-0.0911575779318809,82.78598022460938,8.999378495960224,12.223607447624207,7.2792581524848945,1009.6385357971192,1860.327,265.761,1092.2448799743652,16,21.716666666666665
19.142690658569336,-0.0424628779292106,82.45341491699219,8.191423244251087,15.13955760717392,7.362499028205872,799.8581965026856,1463.326,276.9164050064087,951.49,13,44.07888888888889
8.051980018615723,0.1097747832536697,82.1511001586914,2.8278433809819763,10.509421630859377,8.277045709133148,114.01475,236.232,291.3528100128174,385.5175,18,29.06222222222222
16.566633224487305,0.0314155258238315,82.88177490234375,7.513983840894966,18.052561583518983,7.52673060822487,786.2186365356446,1259.904,279.8693100128174,936.0692599487304,15,21.76083333333333
1.4705908298492432,-0.0030258682090789,84.6513671875,6.159105034182723,13.216213049888612,7.995226538658143,102.1229460811615,679.167,289.7123100128174,309.0701899871827,18,26.788055555555555
17.856781005859375,-0.0653291419148445,84.6822280883789,8.272218769422002,16.84449313402176,7.615166771888733,763.2224491729737,1246.78,276.9164050064087,934.7568799743652,6,35.928333333333335
