Activity ID,Activity Date,Max Heart Rate,Max Grade,Average Grade,Average Cadence,Average Heart Rate,Distance (mi),Moving Time (min),Max Speed (mph),Average Speed (mph),Grade Adjusted Distance (mi),Elevation Gain (ft),Elevation Loss (ft),Elevation Low (ft),Elevation High (ft),Rounded Time,Hour of Day,Rest Hours
8955237821,2023-01-26 19:56:39,187.0,7.370568752288818,-0.3069626986980438,85.6416015625,170.01170349121094,4.996892479801118,37.13333333333333,11.667214029312134,8.079084491491319,5.033064136303605,204.80001399230957,702.134,264.1205,394.37618998718267,2023-01-26 20:00:00,20,
8955238078,2023-01-28 10:35:15,201.0,18.24141311645508,-0.1151131242513656,83.78279113769531,173.62921142578125,8.098197638284649,68.41666666666667,17.09033089542389,7.100995401620866,8.47134890654133,745.6611690216065,1125.383,291.3528100128174,951.1618799743653,2023-01-28 11:00:00,11,38.64333333333333
8955237968,2023-01-31 20:23:27,182.0,7.689279079437256,-0.2767658233642578,88.92797088623047,161.68035888671875,3.9962709757613424,30.066666666666666,10.451712920665742,7.9751163315773015,4.034679804032008,182.88294550704956,593.861,285.7750949935913,394.37618998718267,2023-01-31 20:00:00,20,81.80333333333333
8955237975,2023-02-01 19:47:53,189.0,6.325907707214356,-0.6814979314804077,87.57380676269531,163.03179931640625,3.1013051584835303,21.983333333333334,10.741349823474884,8.461270160913468,3.087010565568676,62.667101251602176,488.869,263.7924050064087,385.51750000000004,2023-02-01 20:00:00,20,23.407222222222224
8955237999,2023-02-07 18:42:10,202.0,4.724409580230713,-0.0622168853878974,83.93576049804688,177.6695098876953,3.0950901180857677,21.533333333333335,10.255404531002045,8.626942298650741,3.1201366095012433,87.79956075096132,229.67000000000002,285.447,384.86131001281734,2023-02-07 19:00:00,19,142.90472222222223
8955237942,2023-02-09 19:57:00,197.0,5.850584506988525,-0.0421467535197734,84.26441192626953,182.98385620117188,3.0950901180857677,21.683333333333334,10.820683433055878,8.567297555685045,3.156308266003729,191.9385,738.225,253.29318998718261,394.37618998718267,2023-02-09 20:00:00,20,49.24722222222222
8955237935,2023-02-21 19:32:51,150.0,6.704595565795898,-0.4241268634796142,81.63106536865234,118.13323974609376,4.4934742075823495,34.38333333333333,14.45420947265625,7.848909928560257,4.530267368124611,180.91433799743652,656.2,279.54118998718263,394.70431001281736,2023-02-21 20:00:00,20,287.5975
8955238006,2023-02-22 16:35:41,199.0,15.808147430419922,-0.2683619558811188,82.3966064453125,181.6220550537109,8.495960223741454,66.46666666666667,24.56229524326325,7.671070118188858,8.822809441034805,696.765678024292,1542.0700000000002,268.3858100128174,951.49,2023-02-22 17:00:00,17,21.04722222222222
8955237972,2023-02-25 11:08:56,205.0,7.343587875366211,-0.3278349339962005,82.338134765625,173.1909637451172,13.095090118085768,99.73333333333333,13.57856051683426,7.879473645925522,13.10087059120572,253.42443299102786,1768.459,16.405,265.4329050064087,2023-02-25 11:00:00,11,66.55416666666667
8955238916,2023-03-01 08:02:23,194.0,4.65251350402832,0.2759767174720764,86.67784118652344,161.4703369140625,1.8645121193287757,11.65,13.709088593006134,9.624860524177551,1.9737103487705872,171.06039899444582,91.86800000000001,285.1189050064087,315.6321899871827,2023-03-01 08:00:00,8,92.89083333333333
8955239346,2023-03-08 18:09:10,191.0,32.18595886230469,-0.5470064282417297,82.43950653076172,166.26907348632812,7.998756991920447,62.45,11.820272620201111,7.683560462951659,8.256370416407707,571.973481842041,1161.4740000000002,285.7750949935913,943.6156200256348,2023-03-08 18:00:00,18,178.11305555555555
8955240377,2023-03-09 15:34:25,195.0,5.5376296043396,-0.4523972570896148,83.05229949951172,176.88914489746094,3.9962709757613424,29.016666666666666,11.41765673828125,8.26495057106018,3.975636920253263,30.283628498077395,272.32300000000004,277.9006899871826,396.6729050064087,2023-03-09 16:00:00,16,21.420833333333334
8955242054,2023-03-11 16:36:48,180.0,7.760669708251953,-0.043139100074768,81.83548736572266,156.47772216796875,4.176507147296458,37.583333333333336,15.800723999023438,6.66877955198288,4.210068365444376,156.17794800567628,479.026,267.4015,396.6729050064087,2023-03-11 17:00:00,17,49.039722222222224
8955243686,2023-03-12 17:58:43,201.0,11.028997421264648,-0.08058562874794,84.17327880859375,181.23989868164065,6.246115599751399,43.333333333333336,14.062352172851563,8.64808772325516,6.377501796535116,391.1389459991455,931.8040000000001,291.3528100128174,621.7495,2023-03-12 18:00:00,18,25.365277777777777
8955246443,2023-03-13 18:00:02,199.0,18.67147254943848,-0.0015071907546371,82.76129913330078,166.8031768798828,8.24735860783095,68.71666666666667,11.310175452232361,7.19970000576973,8.665568918971411,803.5989350128174,1341.929,276.9164050064087,951.49,2023-03-13 18:00:00,18,24.021944444444443
8955246618,2023-03-15 14:50:49,198.0,5.412373065948486,0.1847638338804245,83.67906188964844,179.64382934570312,1.1746426351771286,8.516666666666667,12.633438385009766,8.292703574180603,1.1898073489211078,41.668699374198916,65.62,354.0199050064087,396.6729050064087,2023-03-15 15:00:00,15,44.84638888888889
8955247966,2023-03-15 15:02:21,178.0,5.524852275848389,0.3695779144763946,93.10993957519533,150.46327209472656,1.5972653822249845,8.216666666666667,16.986285400867462,11.663708903312683,1.8392789946201056,267.84952351379394,26.248,365.5034050064087,396.6729050064087,2023-03-15 15:00:00,15,0.1922222222222222
8955249237,2023-03-17 21:33:36,174.0,8.847270011901855,-0.0309939607977867,83.50129699707031,156.2996826171875,4.008701056556868,32.31666666666667,23.496896942138676,7.444595351219178,4.0489743969468615,173.5758314933777,262.48,284.7908100128174,396.6729050064087,2023-03-17 22:00:00,22,54.520833333333336
